source_id,declaration_scope,source_kind,official_url,publication_or_version,applicable_from,applicable_to,use_status,corpus_status,conflict_or_gap
bf_cgi_consolidated_2023,TVA|RAS|IUTS|IS,tax_code,https://dgi.bf/wp-content/uploads/2023/10/CODE-GENERAL-DES-IMPOTS-2023-A-JOUR-AVEC-LA-LOI-DE-FINANCE-2023.pdf,CGI edition officielle 2023,2023-01-01,2023-12-31,active_rule_source,excerpt_pending,PDF local docs/CGI_BF.pdf identique au PDF DGI; articles du perimetre a extraire systematiquement
bf_cgi_consolidated_2024,TVA|RAS|IUTS|IS,tax_code,https://dgi.bf/verification/CGI,CGI version 2024,2024-01-01,,active_rule_source,indexed,Version web principale; verifier chaque modification 2024-2026 et les lois rectificatives avant usage par periode
bf_vat_form_2023_10,TVA,official_form,https://dgi.bf/wp-content/uploads/2023/10/DECLARATION-DE-LA-TAXE-SUR-LA-VALEUR-AJOUTEE.pdf,Chemin DGI 2023/10,,,active_structure_source,indexed,Date d'applicabilite absente du document
bf_iuts_tpa_form_2023_10,IUTS,official_form,https://dgi.bf/wp-content/uploads/2023/10/DECLARATION-DE-VERSEMENT-DE-RETENUE-DE-LIMPOT-UNIQUE-SUR-LES-TRAITEMENTS-ET-SALAIRES-IUTS-ET-TAXE-PATRONAL-DAPPRENTISSAGE-TPA.pdf,Chemin DGI 2023/10,,,active_structure_source,indexed,Ancienne numerotation ignoree comme source de regle; date d'applicabilite absente
bf_is_annual_form_2023_10,IS,official_form,https://dgi.bf/wp-content/uploads/2023/10/DECLARATION-DES-BENEFICES-SOUMIS-A-LIMPOT-SUR-LES-SOCIETES.pdf,Chemin DGI 2023/10,,,active_structure_source,indexed,Page d'identification uniquement; aucune formule fiscale extraite
bf_is_installments_form_2023_10,IS,official_form,https://dgi.bf/wp-content/uploads/2023/10/DECLARATION-DES-ACOMPTES-PROVISIONNELS-IMPOT-SUR-LES-SOCIETES-.pdf,Chemin DGI 2023/10,,,active_structure_source,indexed,L'echeance au 20 correspond au CGI initial de 2018 et a ete remplacee par le 15 via la loi n035-2020 article 13; echeance exclue du corpus
bf_tva_base_instruction,TVA,administrative_instruction,https://dgi.bf/wp-content/uploads/2023/10/INSTRUCTION-ADMINISTRATIVE-PORTANT-SUR-LA-BASE-DIMPOSITION-DE-LA-TAXE-SUR-LA-VALEUR-AJOUTEE.pdf,Publication DGI 2023/10,,,context_only,indexed,Necessite transactions et justificatifs absents de la declaration agregee
bf_tva_exemptions_instruction,TVA,administrative_instruction,https://dgi.bf/wp-content/uploads/2023/10/INSTRUCTION-ADMINISTRATIVE-PORTANT-SUR-LES-EXONERATIONS-DE-LA-TAXE-SUR-LA-VALEUR-AJOUTEE.pdf,Instruction administrative 2020,,,context_only,indexed,Preuve legale ou conventionnelle requise; aucune exoneration decidee par le LLM
bf_iuts_domicile_instruction,IUTS,administrative_instruction,https://dgi.bf/wp-content/uploads/2023/10/INSTRUCTION-ADMINISTRATIVE-PORTANT-SUR-LA-DEFINITION-DU-DOMICILE-FISCAL-EN-MATIERE-DIUTS.pdf,Instruction du 30 novembre 2020,2020-11-30,,context_only,indexed,Exige faits et conventions absents de la declaration IUTS actuelle
bf_finance_law_2023,TVA|RAS|IUTS|IS,law,https://dgi.bf/wp-content/uploads/2023/10/LOI-DE-FINANCES-2023.pdf,Loi n029-2022/ALT portant loi de finances 2023,2023-01-01,2023-12-31,review_required,excerpt_pending,PDF officiel acquis et empreinte; modifications du perimetre a verifier article par article
bf_finance_law_2024,TVA|RAS|IUTS|IS,law,https://dgi.bf/wp-content/uploads/2023/10/LOI-DE-FINANCES-2024.pdf,Loi de finances 2024,2024-01-01,2024-12-31,active_rule_source,indexed,Articles RAS 16 et 18 verifies; audit TVA IUTS IS encore requis
bf_finance_rectifying_law_2024,TVA|RAS|IUTS|IS,law,https://dgi.bf/wp-content/uploads/2023/10/LOI-DE-FINANCES-RECTIFICATIVE-2024.pdf,Loi de finances rectificative 2024,2024-01-01,2024-12-31,review_required,excerpt_pending,PDF officiel acquis et empreinte; effet sur les articles du perimetre a verifier
bf_finance_law_2025,TVA|RAS|IUTS|IS,law,https://dgi.bf/wp-content/uploads/2026/01/LOI-DE-FINANCES-2025.pdf,Loi de finances 2025,2025-01-01,2025-12-31,active_rule_source,indexed,Articles RAS 20 et 23 verifies; audit TVA IUTS IS encore requis
bf_finance_rectifying_law_2025,TVA|RAS|IUTS|IS,law,https://www.finances.gov.bf/forum/detail-actualites?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=2463,Loi de finances rectificative 2025 adoptee le 16 octobre 2025,2025-10-16,2025-12-31,fetch_required,not_indexed,Adoption officielle confirmee mais texte promulgue PDF non localise sur les portails officiels consultes
bf_finance_law_2026,TVA|RAS|IUTS|IS,law,https://dgi.bf/wp-content/uploads/2026/01/JOURNAL-OFFICIEL-N%C2%B001-SPECIAL-LOI-DE-FINANCES-2026.pdf,Loi de finances 2026,2026-01-01,,active_rule_source,indexed,Articles RAS 15 et 16 verifies; audit TVA IUTS IS encore requis
