source_id,source_type,title,version,applicable_from,applicable_to,source_url,applicability_status,block_reference,block_type,theme,text
Loi de finances 2024 du Burkina Faso - modifications RAS,law,Loi de finances 2024 du Burkina Faso - modifications RAS,"Loi de finances 2024, articles 16 et 18",2024-01-01,2024-12-31,https://dgi.bf/wp-content/uploads/2023/10/LOI-DE-FINANCES-2024.pdf,confirmed,article 16 modifiant CGI article 207,article,taux RAS residents 2024,"A compter du 1er janvier 2024, l'article 207 fixe la retenue a 5 % du
montant hors taxes pour les personnes justifiant d'un IFU, reduite a 1 %
pour les travaux immobiliers et travaux publics, et a 25 % des sommes
versees aux personnes non salariees sans IFU justifie."
Loi de finances 2024 du Burkina Faso - modifications RAS,law,Loi de finances 2024 du Burkina Faso - modifications RAS,"Loi de finances 2024, articles 16 et 18",2024-01-01,2024-12-31,https://dgi.bf/wp-content/uploads/2023/10/LOI-DE-FINANCES-2024.pdf,confirmed,article 18 modifiant CGI article 221,article,taux RAS non determines 2024,"A compter du 1er janvier 2024, l'article 221 fixe les taux a 2 % pour les
vacations d'enseignement et prestations manuelles visees, 5 % pour les
entites publiques et parapubliques, 10 % pour les prestations intellectuelles
occasionnelles visees et 20 % pour les autres personnes morales."
Loi de finances 2025 du Burkina Faso - modifications RAS,law,Loi de finances 2025 du Burkina Faso - modifications RAS,"Loi de finances 2025, articles 20 et 23",2025-01-01,2025-12-31,https://dgi.bf/wp-content/uploads/2026/01/LOI-DE-FINANCES-2025.pdf,confirmed,article 20 modifiant CGI article 207,article,taux RAS residents 2025,"A compter du 1er janvier 2025, l'article 207 fixe la retenue a 2 % du
montant hors taxes pour les entreprises de travail temporaire, 5 % pour les
personnes justifiant d'un IFU, 1 % pour les travaux immobiliers et travaux
publics, et 25 % pour les personnes non salariees sans IFU justifie."
Loi de finances 2025 du Burkina Faso - modifications RAS,law,Loi de finances 2025 du Burkina Faso - modifications RAS,"Loi de finances 2025, articles 20 et 23",2025-01-01,2025-12-31,https://dgi.bf/wp-content/uploads/2026/01/LOI-DE-FINANCES-2025.pdf,confirmed,article 23 modifiant CGI article 221,article,taux RAS non determines 2025,"A compter du 1er janvier 2025, l'article 221 fixe les taux a 2 % pour les
vacations d'enseignement et prestations manuelles visees, 5 % pour les
entites publiques, parapubliques et autres personnes morales sans activite
lucrative habituelle, et 10 % pour les prestations intellectuelles
occasionnelles des personnes physiques visees."
Loi de finances 2026 du Burkina Faso - modifications RAS,law,Loi de finances 2026 du Burkina Faso - modifications RAS,"Journal officiel special du 2 janvier 2026, articles 15 et 16",2026-01-01,,https://dgi.bf/wp-content/uploads/2026/01/JOURNAL-OFFICIEL-N%C2%B001-SPECIAL-LOI-DE-FINANCES-2026.pdf,confirmed,article 15 modifiant CGI article 207,article,taux RAS residents 2026,"A compter du 1er janvier 2026, l'article 207 fixe la retenue a 5 % du
montant hors taxes pour les personnes justifiant d'un IFU, reduite a 1 %
pour les travaux immobiliers et travaux publics et a 2 % pour les prestations
de travail temporaire; le taux est de 25 % pour les personnes non salariees
sans IFU justifie."
Loi de finances 2026 du Burkina Faso - modifications RAS,law,Loi de finances 2026 du Burkina Faso - modifications RAS,"Journal officiel special du 2 janvier 2026, articles 15 et 16",2026-01-01,,https://dgi.bf/wp-content/uploads/2026/01/JOURNAL-OFFICIEL-N%C2%B001-SPECIAL-LOI-DE-FINANCES-2026.pdf,confirmed,article 16 modifiant CGI article 221,article,taux RAS non determines 2026,"A compter du 1er janvier 2026, l'article 221 fixe notamment 2 % pour les
vacations d'enseignement et prestations manuelles visees, 5 % pour les
entites publiques, parapubliques et personnes morales sans activite lucrative
habituelle, et 10 % pour les personnes physiques visees. Certaines recettes
de service d'entites publiques sont exonerees sous conditions de decret et
d'attestation DGI."
"Code General des Impots du Burkina Faso - IS, articles 87 a 95",tax_code,"Code General des Impots du Burkina Faso - IS, articles 87 a 95",CGI version 2024; article 89 modifie par la loi n°029-2022/ALT du 24 decembre 2022,2024-01-01,,https://dgi.bf/verification/CGI,confirmed,article 87,article,taux IS,"Art.87.- Le taux de l'impot sur les societes est de 27,5 %. Il s'applique
sans abattement au benefice imposable des societes."
"Code General des Impots du Burkina Faso - IS, articles 87 a 95",tax_code,"Code General des Impots du Burkina Faso - IS, articles 87 a 95",CGI version 2024; article 89 modifie par la loi n°029-2022/ALT du 24 decembre 2022,2024-01-01,,https://dgi.bf/verification/CGI,confirmed,articles 88 a 90,article,IMFPIC,"Art.88.- Il est etabli un minimum forfaitaire de perception de l'impot sur
les societes au titre d'une annee determinee, en fonction du chiffre
d'affaires hors taxes de la periode ecoulee.

Art.89.- Pour le calcul du minimum, le chiffre d'affaires vise ci-dessus
est arrondi aux cent mille (100.000) francs CFA inferieurs. Il est fait
application d'un taux de 0,5 % mais en aucun cas le montant ne peut etre
inferieur a un million (1.000.000) de francs CFA pour le regime du reel
normal et trois cent mille (300.000) francs CFA pour le regime du reel
simplifie.

Art.90.- Les societes nouvellement creees sont exonerees du minimum
forfaitaire pour leur premier exercice d'exploitation."
"Code General des Impots du Burkina Faso - IS, articles 87 a 95",tax_code,"Code General des Impots du Burkina Faso - IS, articles 87 a 95",CGI version 2024; article 89 modifie par la loi n°029-2022/ALT du 24 decembre 2022,2024-01-01,,https://dgi.bf/verification/CGI,confirmed,article 91,article,acomptes IS,"Art.91.- L'impot sur les societes donne lieu, au titre de l'exercice
comptable en cours, au versement de trois acomptes provisionnels egaux
calcules sur la base de 75 % du montant de l'impot du au titre du dernier
exercice clos, appele exercice de reference."
"Code General des Impots du Burkina Faso - IS, articles 87 a 95",tax_code,"Code General des Impots du Burkina Faso - IS, articles 87 a 95",CGI version 2024; article 89 modifie par la loi n°029-2022/ALT du 24 decembre 2022,2024-01-01,,https://dgi.bf/verification/CGI,confirmed,article 95,article,echeance IS,"Art.95.- Les societes sont tenues de declarer, au plus tard le 30 avril de
chaque annee, le montant de leur resultat imposable afferent a l'exercice
comptable clos au 31 decembre de l'annee precedente au moyen d'un
formulaire conforme au modele de l'administration fiscale."
Declaration des acomptes provisionnels IS - DGI Burkina Faso,official_form,Declaration des acomptes provisionnels IS - DGI Burkina Faso,Fichier DGI publie sous le chemin 2023/10; echeance imprimee non retenue,,,https://dgi.bf/wp-content/uploads/2023/10/DECLARATION-DES-ACOMPTES-PROVISIONNELS-IMPOT-SUR-LES-SOCIETES-.pdf,not_stated,lignes 01 a 05,section,calcul des acomptes IS,"Le formulaire part de l'impot sur les societes ou du minimum forfaitaire du,
calcule 75 % de ce montant, divise le total en trois acomptes, deduit les
prelevements supportes justifies et determine le montant de la periode a
verser."
Declaration des benefices soumis a l'impot sur les societes - DGI Burkina Faso,official_form,Declaration des benefices soumis a l'impot sur les societes - DGI Burkina Faso,Fichier DGI publie sous le chemin 2023/10,,,https://dgi.bf/wp-content/uploads/2023/10/DECLARATION-DES-BENEFICES-SOUMIS-A-LIMPOT-SUR-LES-SOCIETES.pdf,not_stated,en-tete et exercice,section,periode et regime IS,"L'imprime distingue le regime du reel normal du regime du reel simplifie et
demande les dates de debut et de fin de l'exercice declare."
Declaration des benefices soumis a l'impot sur les societes - DGI Burkina Faso,official_form,Declaration des benefices soumis a l'impot sur les societes - DGI Burkina Faso,Fichier DGI publie sous le chemin 2023/10,,,https://dgi.bf/wp-content/uploads/2023/10/DECLARATION-DES-BENEFICES-SOUMIS-A-LIMPOT-SUR-LES-SOCIETES.pdf,not_stated,identification de l'entreprise,section,identification IS et CGA,"L'identification comprend notamment la raison sociale, les activites, la date
de debut d'activite, l'IFU, le registre de commerce, l'adhesion a un centre de
gestion agree et le regime d'agrement."
"Code General des Impots du Burkina Faso - IUTS, articles 112, 113 et 116",tax_code,"Code General des Impots du Burkina Faso - IUTS, articles 112, 113 et 116",CGI version 2024; article 113 modifie par la loi n°042-2018/AN du 18 decembre 2018,2024-01-01,,https://dgi.bf/verification/CGI,confirmed,article 112,article,bareme IUTS,"Art.112.- L'impot unique sur les traitements et salaires est calcule et
retenu mensuellement par l'employeur pour le compte du Tresor public.

Les taux applicables au revenu mensuel imposable sont fixes comme suit,
pour chaque tranche de revenu : 0 a 30.000 francs CFA : 0 % ; 30.100 a
50.000 : 12,10 % ; 50.100 a 80.000 : 13,90 % ; 80.100 a 120.000 : 15,70 % ;
120.100 a 170.000 : 18,40 % ; 170.100 a 250.000 : 21,70 % ; 250.100 et
au-dessus : 25 %."
"Code General des Impots du Burkina Faso - IUTS, articles 112, 113 et 116",tax_code,"Code General des Impots du Burkina Faso - IUTS, articles 112, 113 et 116",CGI version 2024; article 113 modifie par la loi n°042-2018/AN du 18 decembre 2018,2024-01-01,,https://dgi.bf/verification/CGI,confirmed,article 113 paragraphe 1,article,reduction charges de famille,"Art.113.- 1) Sur le montant de l'impot ainsi calcule, il est pratique une
reduction d'impot pour charges de famille comme suit : 1 charge : 8 % ;
2 charges : 10 % ; 3 charges : 12 % ; 4 charges : 14 %."
"Code General des Impots du Burkina Faso - IUTS, articles 112, 113 et 116",tax_code,"Code General des Impots du Burkina Faso - IUTS, articles 112, 113 et 116",CGI version 2024; article 113 modifie par la loi n°042-2018/AN du 18 decembre 2018,2024-01-01,,https://dgi.bf/verification/CGI,confirmed,article 116 paragraphe 1,article,echeance IUTS,"Art.116.- 1) Les retenues afferentes aux paiements effectues au titre d'un
mois determine, doivent etre declarees et versees dans les dix (10)
premiers jours du mois suivant, a la caisse du Receveur des impots de
rattachement de la personne qui les a operees."
